expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
助詞,じょし,"(gram) particle(s), postposition",JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.13,"MG<?XdN0,Z","อนุภาค (แกรม) ตำแหน่งหลัง, คำเชื่อม, คำเติม, หน่วยคำเติม",助詞は大切です。,คำช่วยมีความสำคัญ
ショック,ショック,shock,JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.4,Od5f@HtWc-,"ช็อก, อาการช็อก, ความตกใจ, การสะเทือนขวัญ",彼はショックを受けた。,เขาตกใจมาก
進行,しんこう,advance,JLPT_1 JLPT JLPT_3,i:ZPt9q4?b,"ก้าวหน้า, คืบหน้า, เดินหน้า, รุดหน้า",工事が進行中です。,การก่อสร้างกำลังคืบหน้า
新興,しんこう,"rising, developing, emergent",JLPT_1 JLPT JLPT_3,e=XTe9$}W6,"กำลังเติบโต กำลังพัฒนา กำลังเกิดขึ้น, เกิดใหม่, รุ่งเรือง, พัฒนาขึ้น",新興企業。,บริษัทที่กำลังเติบโต
振興,しんこう,"promotion, encouragement",JLPT_1 JLPT JLPT_3,w.^ogJW1(4,"การส่งเสริม การสนับสนุน, การส่งเสริมสนับสนุน, การผลักดัน, การกระตุ้น",経済の振興。,การส่งเสริมเศรษฐกิจ
申告,しんこく,"report, statement",JLPT_1 JLPT JLPT_3,bpPy/Tdvi5,"รายงาน, แถลงการณ์, การประกาศ, การแจ้ง",税金の申告。,การยื่นภาษี
真理,しんり,truth,JLPT_1 JLPT JLPT_3,o~g13?^$If,"ความจริง, สัจธรรม, ความจริงแท้, ธรรมะ",真理を探求する。,แสวงหาสัจธรรม
水洗,すいせん,flushing,JLPT_1 JLPT JLPT_3,uGMalIYW7L,"การล้าง, การชำระล้าง, การใช้น้ำล้าง, การฉีดน้ำ",服を水洗いする。,ซักเสื้อผ้าด้วยน้ำ
ストレス,ストレス,stress,JLPT_1 JLPT JLPT_3,.v(A*gC%Q,"ความเครียด, แรงกดดัน, ความตึงเครียด, ภาวะตึงเครียด",ストレスが溜まる。,ความเครียดสะสม
擦る,する,"to rub, to chafe",JLPT_1 JLPT JLPT_3,BR[lU_Z<4K,"ถู, เสียดสี, ขัด, สี",布を擦る。,ถูผ้า
正規,せいき,"regular, legitimate",JLPT_1 JLPT JLPT_3,qB)0/c?(Sj,"ปกติ ถูกต้องตามกฎหมาย, ถูกต้องตามระเบียบ, เป็นทางการ, ตามกฎหมาย",正規のルート。,เส้นทางปกติ
精巧,せいこう,"elaborate, delicate, exquisite",JLPT_1 JLPT JLPT_3,O4>$NE8IPr,"ประณีต ละเอียดอ่อน งดงาม, บรรจง, วิจิตร, สวยงาม",精巧な作り。,งานที่ประณีต
精算,せいさん,"exact calculation, adjustment",JLPT_1 JLPT JLPT_3,ovctUT)$>z,"การคำนวณที่แม่นยำ การปรับแต่ง, การคำนวณที่ถูกต้อง, การปรับยอด, การคิดเงิน",経費を精算する。,คำนวณค่าใช้จ่าย
成年,せいねん,"majority, adult age",JLPT_1 JLPT JLPT_3,xePq0XBgP_,"ส่วนใหญ่ วัยผู้ใหญ่, วัยบรรลุนิติภาวะ, ผู้ใหญ่, อายุบรรลุนิติภาวะ",成年になった。,บรรลุนิติภาวะแล้ว
声明,せいめい,"declaration, statement, proclamation",JLPT_1 JLPT JLPT_3,B$[eh>:mkl,"การประกาศ, คำแถลง, แถลงการณ์, การแถลงข่าว",声明を発表する。,ประกาศแถลงการณ์
姓名,せいめい,full name,JLPT_1 JLPT JLPT_3,C]0w+PhetE,"ชื่อเต็ม, นามเต็ม, ชื่อบริบูรณ์, ชื่อครบถ้วน",姓名を確認する。,ยืนยันชื่อ-นามสกุล
生理,せいり,"physiology, menses",JLPT_1 JLPT JLPT_3,f73PQXWx7=,"สรีรวิทยา, ประจำเดือน, รอบเดือน, ชีววิทยา",生理痛がひどい。,ปวดประจำเดือนมาก
節,せつ,"when, if; section; clause",JLPT_1 JLPT JLPT_3,oxQV.29qE;,"เมื่อ, ถ้า; มาตรา; ข้อความย่อย, มาตรา, บทความ",もし雨なら、中止です。,ถ้าฝนตกก็ยกเลิก
膳,ぜん,"(small) table, tray, meal",JLPT_1 JLPT JLPT_3,p1wC]g~$`W,"โต๊ะเล็ก ถาด อาหาร, สำรับ, ถาดอาหาร, ชุดอาหาร",膳を運ぶ。,ยกสำรับอาหาร
禅,ぜん,Zen (Buddhism),JLPT_1 JLPT JLPT_3,iyz0<Gw>w^,"เซน (พุทธศาสนา), ปรัชญาเซน, นิกายเซน, พุทธนิกายเซน",禅の修行。,การฝึกสมาธิแบบเซน
選挙,せんきょ,election,JLPT JLPT_1 JLPT_3 Genki_Ln.23 Genki,"E:w+vZ=[*,","การเลือกตั้ง, การลงคะแนน, เลือกตั้ง, การเลือก",選挙が近い。,ใกล้ถึงวันเลือกตั้งแล้ว
先行,せんこう,"preceding, going first",JLPT_1 JLPT JLPT_3,H}S`T5a4|Z,"นำหน้า, ไปก่อน, ล่วงหน้า, นำไปก่อน",先行する。,ไปก่อน
選考,せんこう,"selection, screening",JLPT_1 JLPT JLPT_3,f>TTKs[_O7,"การคัดเลือก การคัดกรอง, การคัดเลือก, การคัดสรร, การเลือกเฟ้น",選考に合格した。,ฉันสอบคัดเลือกผ่านแล้ว
相,そう,"aspect, phase, countenance",JLPT_1 JLPT JLPT_3,"uspMV-,ze1","ลักษณะ, ระยะ, ใบหน้า, รูปหน้า",その相は吉。,ลักษณะนั้นดี
沿う,そう,"to run along, to follow",JLPT_1 JLPT JLPT_3,p/frNLfSx`,"วิ่งตาม, ตามมา, เลียบ, ติดตาม",川に沿って歩く。,เดินเลียบแม่น้ำไป
添う,そう,"to accompany, to comply with",JLPT_1 JLPT JLPT_3,hF`[B^>-hS,"เพื่อร่วมเดินทาง เพื่อปฏิบัติตาม, ร่วมเดินทาง, ปฏิบัติตาม, คล้อยตาม",彼の意見に添う。,คล้อยตามความคิดเห็นของเขา
僧,そう,"monk, priest",JLPT_1 JLPT JLPT_3,yw]w|=zm=s,"พระภิกษุ, นักบวช, สงฆ์, นักบวชชาย",立派な僧。,พระภิกษุที่สง่างาม
像,ぞう,"statue, image",JLPT_1 JLPT JLPT_3,nI=^X@DZIN,"รูปปั้น, รูปภาพ, รูป, รูปหล่อ",仏像が立っている。,มีพระพุทธรูปตั้งอยู่
捜査,そうさ,"search (esp. in criminal investigations, investigation)",JLPT_1 JLPT JLPT_3,"uDX,}/x@{/","การค้นหา (โดยเฉพาะในการสืบสวนคดีอาญา), สืบสวน, การสืบสวน, ค้นคว้า",犯人を捜査する。,สืบสวนหาคนร้าย
操縦,そうじゅう,"management, control, manipulation",JLPT_1 JLPT JLPT_3,M>/Rq`boN-,"การจัดการ การควบคุม การบิดเบือน, การควบคุม, การจัดการ, การบังคับ",機械を操縦する。,ควบคุมเครื่องจักร
創造,そうぞう,creation,JLPT_1 JLPT JLPT_3,"dp,2/)bOJR","การสร้าง, การก่อกำเนิด, การประดิษฐ์, การสร้างสรรค์",新しい世界を創造する。,สร้างโลกใหม่
隊,たい,"party, troops",JLPT_1 JLPT JLPT_3,oOV`L+=72#,"พรรค, ทหาร, หมู่, กองทัพ",救助隊が到着した。,หน่วยกู้ภัยมาถึงแล้ว
退学,たいがく,dropping out of school,JLPT_1 JLPT JLPT_3,A4yM&A#+4L,"การลาออกจากโรงเรียน, ออกจากการเรียน, เลิกเรียน, การออกโรงเรียน",彼は大学を退学した。,เขาลาออกจากมหาวิทยาลัย
タイトル,タイトル,title,JLPT_1 JLPT JLPT_3,C>q:RF*.r8,"ชื่อ, หัวข้อ, คำนำ, ชื่อเรื่อง",本のタイトル。,ชื่อหนังสือ
ダウン,ダウン,down,JLPT_1 JLPT JLPT_3,P@qEmViSUu,"ลง, ต่ำลง, ล่าง, ข้างล่าง",ダウンジャケットを着る。,ใส่เสื้อแจ็คเก็ตขนเป็ด
高まる,たかまる,to rise; to grow; to mount (v.i.),JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.14,p=9SjD]i]q,"ขึ้น; เติบโต; สูงขึ้น (กริยาไม่ต้องการกรรม), เพิ่มขึ้น, สูงขึ้น, พุ่งขึ้น",期待が高まる。,ความคาดหวังเพิ่มสูงขึ้น
断つ,たつ,"to sever, to cut off",JLPT_1 JLPT JLPT_3,P?^bp-(y]k,"ตัดขาด, ตัดทิ้ง, ตัดออก, แยกขาด",関係を断つ。,ตัดความสัมพันธ์
盾,たて,shield,JLPT_1 JLPT JLPT_3,ol51jAu^|h,"โล่, โล่ห์, เกราะ, ป้องกัน",盾を持って戦う。,ต่อสู้โดยมีโล่
例え,たとえ,example; even though,JLPT_1 JLPT JLPT_3,vD1pJmAKj2,"ตัวอย่างเช่น แม้ว่า, ตัวอย่าง, สมมติว่า, อาทิเช่น",たとえ難しくても、やる。,ถึงแม้จะยาก แต่ก็จะทำ
チャイム,チャイム,chime,JLPT_1 JLPT JLPT_3,MQLqaV0IiT,"ระฆัง, กระดิ่ง, เสียงกริ่ง, เสียงระฆัง",チャイムが鳴った。,เสียงกริ่งดังขึ้น
挑戦,ちょうせん,"challenge, defiance",JLPT_1 JLPT JLPT_3,Fo2(&vWuR<,"การท้าทาย การต่อต้าน, ท้าทาย, การต่อต้าน, การประลอง",大きな挑戦。,ความท้าทายที่ยิ่งใหญ่
治療,ちりょう,medical treatment,JLPT_1 JLPT JLPT_3,yw{9Y;C!G/,"การรักษาทางการแพทย์, บำบัด, รักษาโรค, การบำบัด",風邪の治療。,การรักษาหวัด
対,つい,"pair, couple, set",JLPT_1 JLPT JLPT_3,C;9I#$4SFJ,"คู่, คู่รัก, ชุด, คู่กัน",夫婦はいつも対だ。,คู่สามีภรรยาคือคู่เสมอ
接ぐ,つぐ,to join; to piece together; to set (bones); to graft (trees),JLPT_1 JLPT JLPT_3,iNY(7WR;G%,"เชื่อมต่อ; ประกอบเข้าด้วยกัน; เข้าเฝือก (กระดูก); ต่อกิ่ง (ต้นไม้), ต่อ, เชื่อมต่อ, ผนึก",枝を接ぐ。,ต่อกิ่งไม้
